game_pk,weather_source,weather_hour_utc,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,precip_mm,wind_out_to_center_ms,wind_left_to_right_ms,roof_category
822861,open-meteo-forecast,2026-08-21T00:00,42.1,19,988.9,3.29,160,0.0,2.115,-2.52,retractable
822857,open-meteo-forecast,2026-08-22T00:00,40.6,20,990.5,5.24,167,0.0,3.832,-3.574,retractable
822858,open-meteo-forecast,2026-08-22T23:00,40.1,22,992.1,0.5,217,0.0,0.496,0.061,retractable
822856,open-meteo-forecast,2026-08-23T18:00,36.8,33,994.7,2.98,76,0.0,-2.07,-2.144,retractable
823669,open-meteo-forecast,2026-08-13T23:00,24.1,79,978.5,0.64,219,0.0,,,open
823101,open-meteo-forecast,2026-08-22T02:00,21.7,47,1011.2,3.01,354,0.0,-1.726,2.466,retractable
823100,open-meteo-forecast,2026-08-22T23:00,28.8,29,1013.5,3.42,353,0.0,-1.912,2.835,retractable
823099,open-meteo-forecast,2026-08-23T20:00,29.3,30,1018.3,0.94,302,0.0,0.275,0.899,retractable
823097,open-meteo-forecast,2026-08-25T01:00,22.1,43,1016.6,3.63,352,0.0,-1.977,3.044,retractable
823098,open-meteo-forecast,2026-08-26T01:00,22.6,40,1010.2,4.22,5,0.0,-3.036,2.931,retractable
824077,open-meteo-forecast,2026-08-17T23:00,30.1,54,984.5,2.42,83,0.0,-1.933,-1.456,open
824075,open-meteo-forecast,2026-08-18T23:00,33.9,45,976.2,2.42,308,0.0,0.337,2.396,open
824076,open-meteo-forecast,2026-08-19T23:00,34.0,37,975.9,2.37,118,0.0,-0.732,-2.254,open
824074,open-meteo-forecast,2026-08-20T18:00,40.0,25,977.3,6.24,196,0.0,5.404,-3.12,open
824072,open-meteo-forecast,2026-08-22T00:00,42.8,17,981.0,3.51,273,0.0,2.394,2.567,open
824073,open-meteo-forecast,2026-08-22T23:00,26.6,47,984.3,6.88,33,0.0,-6.704,1.548,open
824071,open-meteo-forecast,2026-08-23T18:00,25.9,32,983.2,6.29,72,0.0,-5.653,-2.757,open
