game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
824218,2026-03-26,686613,pitcher,1.0,102,22.0,43.0,11.0,16.0,48.0,9.0,0.0,4.804176,22.0,6.4,22.0,1926.9,25.0,9387.3,102.0,235954.0,102.0,-0.37
824218,2026-03-26,687911,pitcher,1.0,17,6.0,11.0,5.0,2.0,10.0,4.0,0.0,2.408479,6.0,2.5,6.0,497.6,6.0,1480.9,17.0,37822.0,17.0,0.5040000000000001
824218,2026-03-26,700712,pitcher,0.0,14,4.0,5.0,1.0,3.0,4.0,2.0,1.0,1.997544,4.0,1.95,4.0,310.8,4.0,1320.4,14.0,32681.0,14.0,0.2689999999999999
824218,2026-03-26,805123,pitcher,1.0,41,9.0,22.0,8.0,5.0,23.0,6.0,1.0,2.219,9.0,2.9,9.0,1150.4,13.0,3746.9,41.0,102017.0,41.0,0.187
824541,2026-03-26,547973,pitcher,0.0,11,3.0,3.0,0.0,3.0,5.0,3.0,0.0,0.4659999999999999,3.0,0.0,3.0,286.9,3.0,1025.6,11.0,25716.0,11.0,-0.78
824541,2026-03-26,572955,pitcher,1.0,9,3.0,6.0,1.0,0.0,4.0,3.0,1.0,1.648,2.0,2.35,2.0,388.0,5.0,820.4,9.0,24346.0,9.0,1.173
824541,2026-03-26,594580,pitcher,1.0,6,3.0,4.0,2.0,2.0,4.0,2.0,0.0,0.683,3.0,0.0,3.0,194.9,2.0,511.1,6.0,16502.0,6.0,-0.789
824541,2026-03-26,656271,pitcher,1.0,3,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.89,2.0,0.9,2.0,153.89999999999998,2.0,275.4,3.0,6966.0,3.0,0.26
824541,2026-03-26,668933,pitcher,1.0,14,3.0,6.0,3.0,1.0,6.0,1.0,0.0,0.697544,2.0,0.7,2.0,153.39999999999998,2.0,1365.1,14.0,38330.0,14.0,-0.2
824541,2026-03-26,671096,pitcher,1.0,83,24.0,42.0,7.0,17.0,46.0,19.0,1.0,5.239544,20.0,7.0,20.0,2307.7,28.0,7306.2,83.0,204214.0,83.0,-1.1589999999999998
824541,2026-03-26,676477,pitcher,0.0,18,4.0,8.0,4.0,5.0,11.0,2.0,0.0,0.6890000000000001,4.0,1.25,4.0,316.6,4.0,1609.5,18.0,38522.0,18.0,-0.246
824541,2026-03-26,676979,pitcher,0.0,80,24.0,42.0,10.0,10.0,39.0,14.0,1.0,5.896088,22.0,5.35,22.0,2176.5,25.0,7465.9,80.0,198073.0,80.0,-2.076
824541,2026-03-26,683175,pitcher,1.0,16,5.0,5.0,2.0,5.0,9.0,3.0,0.0,2.025544,5.0,2.5,5.0,272.5,3.0,1419.9,16.0,39900.0,16.0,0.765
824541,2026-03-26,686580,pitcher,0.0,17,4.0,7.0,2.0,3.0,8.0,1.0,0.0,0.794544,4.0,0.7,4.0,294.4,4.0,1561.0,17.0,43599.0,17.0,-0.331
824704,2026-03-26,571510,pitcher,1.0,63,17.0,37.0,20.0,8.0,28.0,9.0,3.0,8.579544,17.0,7.55,17.0,1511.4,17.0,5601.6,63.0,145084.0,63.0,1.751
824704,2026-03-26,571948,pitcher,1.0,11,5.0,5.0,0.0,2.0,5.0,4.0,0.0,1.907479,5.0,1.6,5.0,439.9,5.0,922.5,11.0,19643.0,11.0,-0.1199999999999999
824704,2026-03-26,657097,pitcher,1.0,15,5.0,8.0,3.0,3.0,8.0,3.0,1.0,2.329,4.0,2.9,4.0,377.7,4.0,1332.2,15.0,35992.0,15.0,1.884
824704,2026-03-26,672335,pitcher,0.0,12,3.0,5.0,2.0,3.0,8.0,1.0,1.0,1.882,3.0,0.0,3.0,185.9,2.0,1105.8,12.0,28585.0,12.0,-0.78
824704,2026-03-26,676571,pitcher,0.0,24,5.0,11.0,1.0,2.0,7.0,4.0,0.0,1.544544,5.0,1.6,5.0,752.6,10.0,2000.9,24.0,49320.0,24.0,0.0669999999999999
824704,2026-03-26,676917,pitcher,0.0,75,17.0,29.0,6.0,17.0,37.0,9.0,1.0,4.503632,17.0,6.05,17.0,1522.0,19.0,6852.3,75.0,171443.0,75.0,0.6640000000000001
824704,2026-03-26,676962,pitcher,1.0,49,13.0,20.0,4.0,9.0,23.0,9.0,1.0,3.2975440000000003,13.0,4.5,13.0,1093.7,13.0,4560.6,49.0,110483.0,49.0,1.144
824704,2026-03-26,690925,pitcher,0.0,24,5.0,9.0,3.0,3.0,12.0,2.0,0.0,1.970088,5.0,1.4,5.0,465.5,6.0,2191.3,24.0,64242.0,24.0,-0.1139999999999999
824704,2026-03-26,695418,pitcher,0.0,47,10.0,22.0,4.0,10.0,24.0,9.0,1.0,3.979,10.0,3.95,10.0,1337.4,17.0,4240.2,47.0,110271.0,47.0,-0.087
824865,2026-03-26,573124,pitcher,0.0,10,4.0,7.0,2.0,2.0,6.0,3.0,0.0,1.108,4.0,1.25,4.0,416.5,5.0,842.0,10.0,25115.0,10.0,-0.249
824865,2026-03-26,623437,pitcher,0.0,18,5.0,6.0,0.0,6.0,12.0,5.0,0.0,1.035,5.0,1.8,5.0,532.2,6.0,1615.5,18.0,40984.0,18.0,0.379
824865,2026-03-26,657746,pitcher,0.0,85,19.0,51.0,15.0,7.0,42.0,10.0,1.0,3.838088,19.0,2.3,19.0,2803.7,35.0,7575.8,85.0,197514.0,85.0,-3.218
824865,2026-03-26,664854,pitcher,1.0,19,4.0,11.0,7.0,2.0,7.0,1.0,0.0,0.422,4.0,0.9,4.0,258.7,3.0,1794.8,19.0,41545.0,19.0,-0.4580000000000001
824865,2026-03-26,669330,pitcher,1.0,14,4.0,7.0,2.0,3.0,8.0,3.0,0.0,0.746,4.0,1.6,4.0,414.6,5.0,1247.5,14.0,34326.0,14.0,0.4469999999999999
